md5_checksum	assembly_accession	repo_path	access_url
6b30644eed83d5667584db7cc5feddc5	GCA_003668045.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Cricetulus_griseus__Chinese_hamster__HLcriGri3__GCA_003668045.1/query_annotation.gff.gz
200ecb266cd348c855607765333e5403	GCA_003676075.2	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Marmota_flaviventris__yellow-bellied_marmot__HLmarFla1__GCA_003676075.2/query_annotation.gff.gz
ab144da786c229318e2ed6185006a470	GCA_003697995.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Taxidea_taxus_jeffersonii__American_badger__HLtaxTax1__GCA_003697995.1/query_annotation.gff.gz
71bf2280283af4e60056c6660a41d3a6	GCA_003704035.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Peromyscus_maniculatus_bairdii__prairie_deer_mouse__HLperManBai2__GCA_003704035.1/query_annotation.gff.gz
acddd16bd93a2e3876e1ed1d9ce6ad84	GCA_003704135.2	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Peromyscus_polionotus_subgriseus__oldfield_mouse__HLperPol1__GCA_003704135.2/query_annotation.gff.gz
4a67cc46dd725ca8a3cf6a1eb7f4a2c0	GCA_003709585.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Acinonyx_jubatus__cheetah__HLaciJub2__GCA_003709585.1/query_annotation.gff.gz
1de7a13706350b782335b3e01d4cbcd4	GCA_003798545.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Axis_porcinus__Hog_deer__HLaxiPor1__GCA_003798545.1/query_annotation.gff.gz
b5b02d568bf64e3f3f1df32f941c215d	GCA_003945745.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Oryx_gazella__gemsbok__HLoryGaz1__GCA_003945745.1/query_annotation.gff.gz
63c9ba35adb767dc3c053d59fc7dd535	GCA_004023785.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Mungos_mungo__banded_mongoose__HLmunMug1__GCA_004023785.1/query_annotation.gff.gz
e793401deadd208de8898c838844fdf4	GCA_004023805.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Panthera_onca__jaguar__HLpanOnc1__GCA_004023805.1/query_annotation.gff.gz
d244b1154caf555ccdf6b99c1ed2edbe	GCA_004023845.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Helogale_parvula__dwarf_mongoose__HLhelPar1__GCA_004023845.1/query_annotation.gff.gz
d77086b9cc7e7286ef7b7e8afadf9a8e	GCA_004023905.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Suricata_suricatta__meerkat__HLsurSur2__GCA_004023905.1/query_annotation.gff.gz
a2899e6bd0eb3ba0b5142232f3ef97ab	GCA_004023965.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Spilogale_gracilis__western_spotted_skunk__HLspiGra1__GCA_004023965.1/query_annotation.gff.gz
c8692d3d613d1f550903ef626dbe57e5	GCA_004024585.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Paradoxurus_hermaphroditus__Asian_palm_civet__HLparHer1__GCA_004024585.1/query_annotation.gff.gz
960a2fc2579f797b2aa5475bdb9b4df2	GCA_004024625.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Mellivora_capensis__ratel__HLmelCap1__GCA_004024625.1/query_annotation.gff.gz
7a05eb13f56ad51ff5fe884172e047e5	GCA_004024645.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Mirza_coquereli__Coquerels_mouse_lemur__HLmirCoq1__GCA_004024645.1/query_annotation.gff.gz
3f1248856ac400ef4b9ebee7f4fa8643	GCA_004024665.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Lemur_catta__Ring-tailed_lemur__HLlemCat1__GCA_004024665.1/query_annotation.gff.gz
378f91c7c0f3ccd4bacf62856b0cde11	GCA_004024685.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Dipodomys_stephensi__Stephenss_kangaroo_rat__HLdipSte1__GCA_004024685.1/query_annotation.gff.gz
aa5c175c5ba7cf238e1ffa6225817a98	GCA_004024705.2	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Moschus_moschiferus__Siberian_musk_deer__HLmosMos1__GCA_004024705.2/query_annotation.gff.gz
8a311ae6edc5edcbf3e271028441d44e	GCA_004024745.2	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Catagonus_wagneri__Chacoan_peccary__HLcatWag1__GCA_004024745.2/query_annotation.gff.gz
248fb6c75667906ba0c5872a99488e24	GCA_004024765.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Zapus_hudsonius__meadow_jumping_mouse__HLzapHud1__GCA_004024765.1/query_annotation.gff.gz
d06893b051440e3f184a38d9181a3237	GCA_004024785.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo1__GCA_004024785.1/query_annotation.gff.gz
d043497836a10d978db91b6ca7c4778c	GCA_004024805.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Xerus_inauris__South_African_ground_squirrel__HLxerIna1__GCA_004024805.1/query_annotation.gff.gz
9bdb3d8dff0e31e6022913f0a20c8171	GCA_004024825.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Pygathrix_nemaeus__Red_shanked_douc_langur__HLpygNem1__GCA_004024825.1/query_annotation.gff.gz
a41d21e99617d1b5464c816c2f5ae7de	GCA_004024845.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Tonatia_bakeri__stripe-headed_round-eared_bat__HLtonSau1__GCA_004024845.1/query_annotation.gff.gz
f2de09b85366e392ebf74bc5dca5fcf1	GCA_004024885.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Saguinus_imperator__tamarin__HLsagImp1__GCA_004024885.1/query_annotation.gff.gz
d523a850d614e4cde0b515383ab0694b	GCA_004024905.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Tapirus_indicus__Asiatic_tapir__HLtapInd1__GCA_004024905.1/query_annotation.gff.gz
e7ba7209f18430e6d17542ac6420759c	GCA_004024925.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Scalopus_aquaticus__eastern_mole__HLscaAqu1__GCA_004024925.1/query_annotation.gff.gz
5cb42c9a68e99fcc33bc2bbb6beb7cda	GCA_004024945.1	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Uropsilus_gracilis__gracile_shrew_mole__HLuroGra1__GCA_004024945.1/query_annotation.gff.gz
ab7ae17982113d17eaffdb6e2714baad	GCA_004024965.2	TOGA2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Tragulus_javanicus__Java_mouse-deer__HLtraJav1__GCA_004024965.2/query_annotation.gff.gz
